policy,policy_label,seq_length,n_seeds,hit_rate_mean,hit_rate_std,hit_rate_min,hit_rate_max
fifo,FIFO,512,5,0.674483,0.022959,0.63886,0.704441
fifo,FIFO,1024,5,0.208726,0.020459,0.180902,0.23795
fifo,FIFO,2048,5,0.053184,0.005219,0.046024,0.060584
learned_rd,Learned-RD (DT),512,5,0.723955,0.021097,0.692312,0.746782
learned_rd,Learned-RD (DT),1024,5,0.42416,0.01553,0.401371,0.442565
learned_rd,Learned-RD (DT),2048,5,0.228019,0.009246,0.214912,0.239305
learned_rd_prefetch,Learned-RD+Prefetch,512,5,0.723955,0.021097,0.692312,0.746782
learned_rd_prefetch,Learned-RD+Prefetch,1024,5,0.42416,0.01553,0.401371,0.442565
learned_rd_prefetch,Learned-RD+Prefetch,2048,5,0.228019,0.009246,0.214912,0.239305
learned_rf,Learned-RF,512,5,0.732846,0.016497,0.705982,0.750976
learned_rf,Learned-RF,1024,5,0.430628,0.013691,0.411236,0.449277
learned_rf,Learned-RF,2048,5,0.233083,0.008568,0.220844,0.244198
lru,LRU,512,5,0.722351,0.020427,0.683783,0.742303
lru,LRU,1024,5,0.359476,0.014321,0.339428,0.380753
lru,LRU,2048,5,0.182179,0.008309,0.172044,0.190712
